ra2000,dec2000,IAU_name,name,aper_pix,Rmag,Rmagerr,PolDeg,ErrPolDeg,PolAngle,ErrPolAngle
02 22 39.6260,+43 02 07.181,0219+428,3c66a,16,,,,,,
02 22 30.8759,+43 03 14.031,,3c66a-C2,16,13.58,0.01,,,,
02 22 55.1337,+43 03 14.911,,3c66a-C1,16,12.70,0.01,,,,
02 22 45.1270,+43 04 18.552,,3c66a-B,16,14.23,0.01,,,,
02 22 44.0013,+43 05 31.139,,3c66a-A,16,13.33,0.01,,,,
02 38 38.9461,+16 36 59.071,0235+164,ao0235,16,,,,,,
02 38 36.6378,+16 36 25.737,,ao0235-1,16,12.69,0.02,,,,
02 38 32.4865,+16 36 00.613,,ao0235-2,16,12.23,0.02,,,,
02 38 29.5209,+16 36 43.301,,ao0235-3,16,12.48,0.03,,,,
03 39 30.8748,-01 46 36.711,0336-019,cta26,16,,,,,,
03 39 36.1793,-01 45 18.492,,cta26-1,16,13.96,0.04,,,,
03 39 14.5260,-01 46 19.911,,cta26-3,16,13.84,0.06,,,,
04 18 21.2862,+38 01 35.682,0415+379,3c111,16,,,,,,
04 18 21.6748,+38 05 12.356,,3c111-2,16,14.93,0.05,,,,
04 23 15.8064,-01 20 33.618,0420−014,pks0420,16,,,,,,
04 23 21.4798,-01 19 16.382,,pks0420-2,16,12.81,0.02,,,,
04 23 14.3643,-01 22 22.458,,pks0420-4,16,14.47,0.03,,,,
05 30 56.3995,+13 31 55.230,0528+134,pks0528,16,,,,,,
05 30 52.6877,+13 34 42.528,,pks0528-1,16,12.73,0.03,,,,
05 30 53.3083,+13 33 37.198,,pks0528-2,16,13.92,0.04,,,,
05 31 01.7168,+13 31 50.135,,pks0528-3,16,15.08,0.03,,,,
07 21 53.4122,+71 20 36.183,0716+714,s50716,16,,,,,,
07 21 33.6055,+71 19 20.334,,s50716-2,16,11.12,0.01,,,,
07 21 52.0424,+71 18 17.380,,s50716-3,16,12.06,0.01,,,,
07 21 54.3427,+71 19 20.223,,s50716-5,16,13.18,0.01,,,,
07 22 12.5496,+71 21 14.232,,s50716-6,16,13.26,0.01,,,,
07 38 07.3687,+17 42 19.034,0735+178,pks0735,16,,,,,,
07 38 02.4532,+17 41 22.100,,pks0735-C,16,13.85,0.04,,,,
07 38 08.3327,+17 44 59.189,,pks0735-D,16,15.49,0.05,,,,
07 38 23.2903,+17 42 42.832,,pks0735-A,16,13.10,0.05,,,,
08 30 52.0891,+24 11 59.724,0827+243,oj248,16,,,,,,
08 30 50.1932,+24 10 25.067,,oj248-2,16,14.46,0.03,,,,
08 30 53.5908,+24 10 38.585,,oj248-5,16,15.40,0.02,,,,
08 31 48.9011,+04 29 38.996,0829+046,oj049,16,,,,,,
08 32 00.7304,+04 32 01.897,,oj049-C2,16,13.27,0.06,,,,
08 31 54.4437,+04 30 43.814,,oj049-C3,16,13.23,0.05,,,,
08 41 24.5598,+70 53 41.752,0836+710,q0836,16,,,,,,
08 41 00.9553,+70 54 58.839,,q0836-B,16,14.85,0.05,,,,
08 41 42.8047,+70 51 06.708,,q0836-C,16,13.53,0.05,,,,
08 54 48.8866,+20 06 30.147,0851+202,oj287,16,,,,,,
08 54 53.3236,+20 04 44.666,,oj287-4,16,13.74,0.04,,,,
08 54 55.1946,+20 05 41.889,,oj287-11,16,14.65,0.05,,,,
08 54 54.4516,+20 06 13.108,,oj287-10,16,14.34,0.05,,,,
09 58 47.2821,+65 33 54.772,0954+658,s40954,16,,,,,,
09 58 23.1328,+65 35 15.310,,s40954-2,16,13.96,0.03,,,,
09 58 50.6256,+65 32 09.465,s40954-3,16,14.12,0.02,,,,
09 59 09.4568,+65 34 15.094,,s40954-6,16,14.43,0.03,,,,
10 58 29.6239,+01 33 58.739,1055+018,pks1055,16,,,,,,
10 58 27.4490,+01 34 32.964,,pks1055-1,16,15.474,0.038,,,,
