id_mc,id_blazar_mc,aper_mc,IAU_name_mc,ra2000_mc,dec2000_mc,name_mc,Rmag_mc,Rmagerr_mc,PolDeg_mc,ErrPolDeg_mc,PolAngle_mc,ErrPolAngle_mc
1,1,16,"0219+428","02 22 39.6260","+43 02 07.181","3C 66A",-99.0,-99.0,,,,
2,1,16,"","02 22 30.8759","+43 03 14.031","3C 66A C2",13.58,0.009,,,,
3,1,16,"","02 22 55.1337","+43 03 14.911","3C 66A C1",12.70,0.008,,,,
4,1,16,"","02 22 45.1270","+43 04 18.552","3C 66A B",14.23,0.006,,,,
5,1,16,"","02 22 44.0013","+43 05 31.139","3C 66A A",13.33,0.007,,,,
6,2,16,"0235+164","02 38 38.9301","+16 36 59.275","AO 0235+16",-99.0,-99.0,,,,
7,2,16,"","02 38 36.6378","+16 36 25.737","AO 0235+16 1",12.69,0.02,,,,
#8,2,16,"","02 38 32.4865","+16 36 00.613","AO 0235+16 2",12.23,0.02,,,,
9,2,16,"","02 38 29.5209","+16 36 43.301","AO 0235+16 3",12.48,0.03,,,,
9,2,16,"","02 38 45.979","+16 37 36.52","AO 0235+16 9",14.190,0.022,,,,
9,2,16,"","02 38 45.525","+16 38 47.11","AO 0235+16 11",13.589,0.013,,,,
14,3,16,"0336-019","03 39 30.8748","-01 46 36.711","cta26",-99.0,-99.0,,,,
15,3,16,"","03 39 36.1793","-01 45 18.492","cta26 1",13.96,0.04,,,,
16,3,16,"","03 39 14.5260","-01 46 19.911","cta26 2",12.59,0.03,,,,
16,3,16,"","03 39 14.5260","-01 46 19.911","cta26 3",13.84,0.06,,,,
16,3,16,"","03 39 02.5523570472","-01 48 53.28929","cta26 4",11.04,0.01,,,,
17,4,16,"0415+379","04 18 21.138","+38 01 36.","3C 111",-99.0,-99.0,,,,
18,4,16,"","04 18 18.690","+38 01 27.84","3C 111 1",17.98,0.05,,,,
18,4,16,"","04 18 16.840","+38 01 31.02","3C 111 2",14.93,0.05,,,,
19,5,16,"0420-014","04 23 15.8064","-01 20 33.618","pks0420-01",-99.0,-99.0,,,,
20,5,16,"","04 23 01.400","-01 23 08.88","pks0420-01 1",12.09,0.03,,,,
21,5,16,"","04 23 21.363","-01 19 15.48","pks0420-01 2",12.81,0.02,,,,
22,5,16,"","04 23 0.451","-01 23 39.91","pks0420-01 3",12.87,0.03,,,,
23,5,16,"","04 23 14.292","-01 22 21.04","pks0420-01 4",14.47,0.03,,,,
