,ra2000,dec2000,name,Rmag,Rmagerr,PolDeg,ErrPolDev,PolAngle,ErrPolAngle,ra2000_deg,dec2000_deg
0,02 22 39.6260,+43 02 07.181,3c66a,-99.0,-99.0,,,,   ,35.665108333333336,43.03532805555555
1,02 22 30.8759,+43 03 14.031,3c66a-C2,13.58,0.01,,,,,35.628649583333335,43.0538975
2,02 22 55.1337,+43 03 14.911,3c66a-C1,12.7,0.01,,,,,35.72972375,43.05414194444444
3,02 22 45.1270,+43 04 18.552,3c66a-B,14.23,0.01,,,,,35.68802916666667,43.07182
4,02 22 44.0013,+43 05 31.139,3c66a-A,13.33,0.01,,,,,35.68333875,43.09198305555556
5,02 38 38.9461,+16 36 59.071,ao0235,-99.0,-99.0,,,,,39.66227541666667,16.616408611111112
6,02 38 36.6378,+16 36 25.737,ao0235-1,12.69,0.02,,,,,39.6526575,16.60714916666667
7,02 38 32.4865,+16 36 00.613,ao0235-2,12.23,0.02,,,,,39.635360416666664,16.600170277777778
8,02 38 29.5209,+16 36 43.301,ao0235-3,12.48,0.03,,,,,39.62300375,16.612028055555555
9,03 39 30.8748,-01 46 36.711,cta26,-99.0,-99.0,,,,,54.878645,-1.7768641666666667
10,03 39 36.1793,-01 45 18.492,cta26-1,13.96,0.04,,,,,54.900747083333336,-1.7551366666666666
11,03 39 14.5260,-01 46 19.911,cta26-3,13.84,0.06,,,,,54.810525,-1.7721974999999999
12,04 18 21.2862,+38 01 35.682,3c111,-99.0,-99.0,,,,,64.5886925,38.02657833333333
13,04 18 21.6748,+38 05 12.356,3c111-2,14.93,0.05,,,,,64.59031166666666,38.08676555555556
14,04 23 15.8064,-01 20 33.618,pks0420,-99.0,-99.0,,,,,65.81586,-1.3426716666666665
15,04 23 21.4798,-01 19 16.382,pks0420-2,12.81,0.02,,,,,65.83949916666667,-1.3212172222222223
16,04 23 14.3643,-01 22 22.458,pks0420-4,14.47,0.03,,,,,65.80985125,-1.372905
17,05 30 56.3995,+13 31 55.230,pks0528,-99.0,-99.0,,,,,82.73499791666667,13.532008333333334
18,05 30 52.6877,+13 34 42.528,pks0528-1,12.73,0.03,,,,,82.71953208333333,13.578479999999999
19,05 30 53.3083,+13 33 37.198,pks0528-2,13.92,0.04,,,,,82.72211791666666,13.560332777777779
20,05 31 01.7168,+13 31 50.135,pks0528-3,15.08,0.03,,,,,82.75715333333333,13.530593055555556
21,07 21 53.4122,+71 20 36.183,s50716,-99.0,-99.0,,,,,110.47255083333333,71.34338416666667
22,07 21 33.6055,+71 19 20.334,s50716-2,11.12,0.01,,,,,110.39002291666667,71.322315
23,07 21 52.0424,+71 18 17.380,s50716-3,12.06,0.01,,,,,110.46684333333333,71.30482777777777
24,07 21 54.3427,+71 19 20.223,s50716-5,13.18,0.01,,,,,110.47642791666667,71.32228416666666
25,07 22 12.5496,+71 21 14.232,s50716-6,13.26,0.01,,,,,110.55229,71.35395333333332
26,07 38 07.3687,+17 42 19.034,pks0735,-99.0,-99.0,,,,,114.53070291666667,17.70528722222222
27,07 38 02.4532,+17 41 22.100,pks0735-C,13.85,0.04,,,,,114.51022166666667,17.68947222222222
28,07 38 08.3327,+17 44 59.189,pks0735-D,15.49,0.05,,,,,114.53471958333333,17.749774722222224
29,07 38 23.2903,+17 42 42.832,pks0735-A,13.1,0.05,,,,,114.59704291666667,17.71189777777778
30,08 30 52.0891,+24 11 59.724,oj248,-99.0,-99.0,,,,,127.71703791666667,24.199923333333334
31,08 30 50.1932,+24 10 25.067,oj248-2,14.46,0.03,,,,,127.70913833333333,24.173629722222223
32,08 30 53.5908,+24 10 38.585,oj248-5,15.4,0.02,,,,,127.723295,24.177384722222225
33,08 31 48.9011,+04 29 38.996,oj049,-99.0,-99.0,,,,,127.95375458333334,4.494165555555556
