"IAU Name","Object Name","RA","DEC","Redshift"
0219+428,"3C 66A","02 22 39.6114","+43 02 07.799",0.444
0235+164,"AO 0235+16","02 38 38.9301","+16 36 59.275",0.94
0316+413,"3C 84","03 19 48.1600","+41 30 42.103",0.017559
0336-019,"CTA 26","03 39 30.99","-01 46 35.6",0.852
0415+379,"3C 111","04 18 21.3","+38 01 36.0",0.0485
0420-014,"PKS 0420-01","04 23 15.73","-01 20 32.7",0.914
0430+052,"3C120","04 33 11.0955","+05 21 15.620",0.033010
0528+134,"PKS 0528+134","05 30 56.359","+13 31 55.03",2.06
0716+714,"S5 0716+71","07 21 53.447","+71 20 36.35",0.31
0735+178,"PKS 0735+17","07 38 07.39","+17 42 18.99",0.424
0827+243,"OJ 248","08 30 52.08","+24 10 59.7",0.939
0829+046,"OJ 49","08 31 48.8769","+04 29 39.086",0.173683
0836+710,"4C 71.07","08 41 24.37","+70 53 42.17",2.172
0851+202,"OJ 287","08 54 48.9","+20 06 31.0",0.306
0954+658,"S4 0954+65","09 58 47.244","+65 33 54.80",0.368
1055+018,"PKS 1055+01","10 58 29.605","+01 33 58.824",0.89
1101+384,"MRK 421","11 04 27.3139","+38 12 31.799",0.030021
1127-145,"PKS B1127-145","11 30 07.0","-14 49 27.0",1.184
1156+295,"4C 29.45","11 59 32.07","+29 14 42.0",0.729
1219+285,"ON 231","12 21 31.6905","+28 13 58.50",0.102
1222+216,"PG 1222+216","12 24 54.4583","+21 22 46.388",0.435
1226+023,"3C 273","12 29 06.698","+02 03 08.58",0.158339
1253-055,"3C 279","12 56 11.1665","-05 47 21.523",0.5362
1308+326,"B2 1308+30","13 10 28.66","+32 20 43.8",0.996
1406-076,"PKS 1416-076","14 08 56.5","-07 52 27.0",1.494
1510-089,"PKS 1510-08","15 12 50.533","-09 05 58.99",0.36
1611+343,"DA 406","16 13 41.0642","+34 12 47.908",1.401
1622-297,"PKS 1622-29","16 26 06.0208","-29 51 26.970",0.815
1633+382,"4C 38.41","16 35 15.4929","+38 08 04.50",1.81357
1641+399,"3C 345","16 42 58.808","+39 48 36.99",0.5928
1730-130,"NRAO 530","17 33 02.7","-13 04 50.0",0.902
1749+096,"OT +081","17 51 32.8","+09 39 01.0",0.322
2200+420,"BL Lacertae","22 02 43.290","+42 16 39.98",0.0686
2223-052,"3C 446","22 25 47.2","-04 57 01.0",1.404
2230+114,"CTA 102","22 32 36.40","+11 43 51.3",1.037
2251+158,"3C 454.3","22 53 57.7","+16 08 54.0",0.859
"HD19820","HD19820","03 14 05.3363","+59 33 48.489",0.0
"HD25443","HD25443","04 06 08.0671","+62 06 06.620",0.0
"HD154445","HD154445","17 05 32.2589","-00 53 31.439",0.0
"HD161056","HD161056","17 43 47.0221","-07 04 46.591",0.0
